ElementID,Volume,Area,Length,Height,Thickness/Width,Total_Surface_Area,Total_Edge_Length,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
0Pb9UZmIX5Hhc1hHDFb0rT,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0F30Tde3916gymefgC_uqO,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Pb9UZmIX5Hhc1hHDFb1Mp,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
3cx1kevfP1Cul5uiynphKM,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
082Y9U8n57RxOQ13jCCxiG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
082Y9U8n57RxOQ13jCCxWW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1X$5Uu$SX90RVusEqaLhaq,65.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Uus3q_tf3FfJDKbCbiGAp,120.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Uus3q_tf3FfJDKbCbiGiB,120.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Uus3q_tf3FfJDKbCbiGIh,48.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9dcOe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9dcbC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9dc$z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9ddKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9ddYU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9dde_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1JvvH3HLX6ZOHgM5m9dder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
