ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1545381,0.3,1.2,1.58,0.83,0.25,-1.23,-3.4,6.0,0.25,0.83,1.58,1123.0,297.42,80.19,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1547073,0.21,1.07,0.54,1.1,0.25,-1.23,-3.13,6.0,0.98,1.1,0.25,1118.62,304.65,80.33,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1547308,1.27,5.38,4.99,1.1,0.25,-1.23,-3.13,6.0,4.37,1.1,2.85,1120.92,303.31,80.33,0.56,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1548996,3.74,14.96,12.6,1.1,0.25,-1.23,-3.13,6.0,12.6,1.27,0.38,1111.77,304.73,80.29,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1582592,16.03,64.14,4.34,14.3,0.25,-1.56,0.87,6.0,0.25,14.3,4.49,987.85,287.44,89.6,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1582696,21.2,84.8,5.66,14.3,0.25,-1.56,0.87,6.0,0.25,14.3,5.93,991.35,286.71,89.6,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1582842,13.94,46.48,3.5,14.3,0.3,-1.56,0.87,6.0,3.5,14.3,0.3,989.6,289.53,89.6,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1586623,8.21,32.83,2.18,14.32,0.25,-1.56,0.89,6.0,2.3,14.32,0.25,988.88,283.87,89.58,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1587322,0.74,2.94,0.33,14.32,0.25,-1.56,0.89,6.0,0.33,14.32,0.25,991.12,283.87,89.61,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1593115,11.4,57.0,28.0,2.17,0.2,0.0,-0.85,20.0,28.0,2.17,0.2,1030.16,276.06,85.09,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
